Topic,scopus_id,year
19,2-s2.0-85058930548,2021
25,2-s2.0-85119010420,2021
33,2-s2.0-85109798694,2021
33,2-s2.0-85109375708,2021
38,2-s2.0-85101741150,2021
25,2-s2.0-85111668796,2021
43,2-s2.0-85117562586,2021
0,2-s2.0-85106592695,2021
3,2-s2.0-85101482528,2021
33,2-s2.0-85119583683,2021
31,2-s2.0-85116822563,2021
0,2-s2.0-85116122090,2021
5,2-s2.0-85116045099,2021
4,2-s2.0-85114621400,2021
-1,2-s2.0-85112819374,2021
-1,2-s2.0-85108800783,2021
-1,2-s2.0-85089513861,2021
16,2-s2.0-85047415020,2021
-1,2-s2.0-85120303287,2021
6,2-s2.0-85115452044,2021
28,2-s2.0-85123025535,2021
-1,2-s2.0-85119458079,2021
40,2-s2.0-85117229174,2021
1,2-s2.0-85114303279,2021
20,2-s2.0-85114239544,2021
25,2-s2.0-85113605397,2021
11,2-s2.0-85113224648,2021
5,2-s2.0-85112837866,2021
-1,2-s2.0-85107826450,2021
10,2-s2.0-85101903241,2021
1,2-s2.0-85100351076,2021
24,2-s2.0-85100344576,2021
34,2-s2.0-85096740821,2021
42,2-s2.0-85094654247,2021
7,2-s2.0-85089259964,2021
9,2-s2.0-85117323161,2021
24,2-s2.0-85113159410,2021
-1,2-s2.0-85112706951,2021
34,2-s2.0-85111055312,2021
34,2-s2.0-85104281212,2021
19,2-s2.0-85098081309,2021
56,2-s2.0-85086579858,2021
-1,2-s2.0-85081628323,2021
-1,2-s2.0-85079459314,2021
24,2-s2.0-85112423260,2021
0,2-s2.0-85111388906,2021
2,2-s2.0-85109104116,2021
25,2-s2.0-85111128057,2021
-1,2-s2.0-85112313647,2021
10,2-s2.0-85123901648,2021
18,2-s2.0-85107670455,2021
0,2-s2.0-85107035698,2021
50,2-s2.0-85104115250,2021
10,2-s2.0-85103972542,2021
44,2-s2.0-85103266502,2021
16,2-s2.0-85100670866,2021
13,2-s2.0-85099336739,2021
34,2-s2.0-85099023790,2021
-1,2-s2.0-85090466460,2021
31,2-s2.0-85110305964,2021
4,2-s2.0-85111413535,2021
-1,2-s2.0-85108379952,2021
-1,2-s2.0-85107776251,2021
15,2-s2.0-85107642583,2021
1,2-s2.0-85107402972,2021
-1,2-s2.0-85123644103,2021
10,2-s2.0-85120966367,2021
-1,2-s2.0-85107145002,2021
6,2-s2.0-85106441487,2021
1,2-s2.0-85105520998,2021
7,2-s2.0-85103046645,2021
-1,2-s2.0-85102959648,2021
10,2-s2.0-85101897033,2021
2,2-s2.0-85087218536,2021
-1,2-s2.0-85081685919,2021
7,2-s2.0-85080918626,2021
17,2-s2.0-85078291537,2021
4,2-s2.0-85113569533,2021
-1,2-s2.0-85107308163,2021
4,2-s2.0-85105943170,2021
22,2-s2.0-85105649694,2021
0,2-s2.0-85105774560,2021
-1,2-s2.0-85101999836,2021
17,2-s2.0-85100699552,2021
-1,2-s2.0-85100169793,2021
5,2-s2.0-85096876841,2021
11,2-s2.0-85087902924,2021
1,2-s2.0-85082203094,2021
-1,2-s2.0-85105908825,2021
-1,2-s2.0-85112828760,2021
17,2-s2.0-85104624111,2021
4,2-s2.0-85106504841,2021
1,2-s2.0-85104627758,2021
-1,2-s2.0-85103336155,2021
23,2-s2.0-85102160039,2021
-1,2-s2.0-85098883686,2021
-1,2-s2.0-85097505078,2021
13,2-s2.0-85092116972,2021
21,2-s2.0-85090409456,2021
3,2-s2.0-85089396738,2021
-1,2-s2.0-85087634794,2021
0,2-s2.0-85085148142,2021
-1,2-s2.0-85095806730,2021
35,2-s2.0-85099422347,2021
0,2-s2.0-85087562702,2021
3,2-s2.0-85086668790,2021
-1,2-s2.0-85086660575,2021
-1,2-s2.0-85087966100,2021
11,2-s2.0-85106629242,2021
42,2-s2.0-85102746868,2021
-1,2-s2.0-85089028702,2021
41,2-s2.0-85088784803,2021
-1,2-s2.0-85102734689,2021
10,2-s2.0-85100719615,2021
9,2-s2.0-85100255321,2021
-1,2-s2.0-85097068355,2021
-1,2-s2.0-85091354190,2021
-1,2-s2.0-85102467337,2021
14,2-s2.0-85102271219,2021
45,2-s2.0-85101151583,2021
0,2-s2.0-85102380351,2021
-1,2-s2.0-85109193398,2021
0,2-s2.0-85105493355,2021
-1,2-s2.0-85103915732,2021
1,2-s2.0-85097328506,2021
16,2-s2.0-85074187341,2021
-1,2-s2.0-85059519599,2021
15,2-s2.0-85043338644,2021
11,2-s2.0-85094945713,2021
-1,2-s2.0-85111769095,2021
53,2-s2.0-85092748114,2021
22,2-s2.0-85099571247,2021
-1,2-s2.0-85129806528,2021
22,2-s2.0-85129422055,2021
1,2-s2.0-85129418865,2021
-1,2-s2.0-85128522949,2021
-1,2-s2.0-85126949941,2021
22,2-s2.0-85125950699,2021
-1,2-s2.0-85125812501,2021
4,2-s2.0-85125075478,2021
4,2-s2.0-85124707144,2021
3,2-s2.0-85124361328,2021
-1,2-s2.0-85123886064,2021
-1,2-s2.0-85123605607,2021
4,2-s2.0-85123505139,2021
16,2-s2.0-85123468612,2021
-1,2-s2.0-85123266585,2021
-1,2-s2.0-85123163570,2021
0,2-s2.0-85122850087,2021
14,2-s2.0-85121778918,2021
25,2-s2.0-85121597178,2021
-1,2-s2.0-85121591301,2021
25,2-s2.0-85121325800,2021
31,2-s2.0-85121292609,2021
-1,2-s2.0-85120998904,2021
-1,2-s2.0-85120823196,2021
-1,2-s2.0-85120466776,2021
-1,2-s2.0-85120463333,2021
0,2-s2.0-85120005276,2021
1,2-s2.0-85119702818,2021
22,2-s2.0-85119477806,2021
-1,2-s2.0-85119443851,2021
8,2-s2.0-85119255999,2021
-1,2-s2.0-85119034926,2021
6,2-s2.0-85118801032,2021
1,2-s2.0-85118364693,2021
8,2-s2.0-85117291819,2021
-1,2-s2.0-85115672709,2021
20,2-s2.0-85115624200,2021
-1,2-s2.0-85115142508,2021
8,2-s2.0-85114892256,2021
31,2-s2.0-85114288905,2021
-1,2-s2.0-85114222534,2021
-1,2-s2.0-85113740205,2021
1,2-s2.0-85113726877,2021
-1,2-s2.0-85113673576,2021
4,2-s2.0-85113530632,2021
-1,2-s2.0-85112771804,2021
12,2-s2.0-85112768328,2021
8,2-s2.0-85112679437,2021
39,2-s2.0-85112315107,2021
18,2-s2.0-85112237727,2021
1,2-s2.0-85112052212,2021
-1,2-s2.0-85111769027,2021
-1,2-s2.0-85111543325,2021
11,2-s2.0-85111508519,2021
-1,2-s2.0-85111479556,2021
3,2-s2.0-85111154576,2021
9,2-s2.0-85111110583,2021
-1,2-s2.0-85111063796,2021
-1,2-s2.0-85110880895,2021
0,2-s2.0-85110804456,2021
-1,2-s2.0-85110614159,2021
4,2-s2.0-85110308687,2021
-1,2-s2.0-85109981672,2021
2,2-s2.0-85109509884,2021
-1,2-s2.0-85109251751,2021
-1,2-s2.0-85108790372,2021
-1,2-s2.0-85108569777,2021
20,2-s2.0-85108350913,2021
0,2-s2.0-85108158793,2021
38,2-s2.0-85107821981,2021
-1,2-s2.0-85107661465,2021
31,2-s2.0-85107471752,2021
-1,2-s2.0-85107120461,2021
42,2-s2.0-85106959805,2021
-1,2-s2.0-85106720552,2021
30,2-s2.0-85106320691,2021
12,2-s2.0-85106315196,2021
9,2-s2.0-85106253865,2021
5,2-s2.0-85106029024,2021
-1,2-s2.0-85105789555,2021
0,2-s2.0-85105629826,2021
-1,2-s2.0-85105457946,2021
5,2-s2.0-85105144260,2021
23,2-s2.0-85104820472,2021
4,2-s2.0-85104589025,2021
-1,2-s2.0-85104325781,2021
23,2-s2.0-85103308749,2021
1,2-s2.0-85102795039,2021
27,2-s2.0-85102731723,2021
5,2-s2.0-85102720617,2021
-1,2-s2.0-85102679958,2021
-1,2-s2.0-85102679771,2021
47,2-s2.0-85102503823,2021
-1,2-s2.0-85102472412,2021
-1,2-s2.0-85102196146,2021
11,2-s2.0-85101118790,2021
20,2-s2.0-85101097818,2021
57,2-s2.0-85100963999,2021
41,2-s2.0-85099685335,2021
16,2-s2.0-85099595121,2021
21,2-s2.0-85097194612,2021
-1,2-s2.0-85096889087,2021
-1,2-s2.0-85096008650,2021
7,2-s2.0-85092218201,2021
0,2-s2.0-85091275457,2021
-1,2-s2.0-85091180577,2021
-1,2-s2.0-85090117620,2021
-1,2-s2.0-85087184763,2021
-1,2-s2.0-85083646456,2021
-1,2-s2.0-85082592394,2021
0,2-s2.0-85078617858,2021
19,2-s2.0-85077873295,2021
-1,2-s2.0-85076349040,2021
20,2-s2.0-85076137550,2021
-1,2-s2.0-85076025509,2021
0,2-s2.0-85063404871,2021
24,2-s2.0-85057322801,2021
-1,2-s2.0-85057298728,2021
3,2-s2.0-85048790603,2021
27,2-s2.0-85098262666,2020
-1,2-s2.0-85099187250,2020
1,2-s2.0-85088699709,2020
27,2-s2.0-85083788610,2020
